City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
433,aripuana,-9.1667,-60.6333,295.23,100,100,0.62,BR,1681025789
434,konya,38.1667,32.5,282.86,50,43,2.89,TR,1681025789
435,saint-francois,46.4154,3.9054,282.57,100,0,1.03,FR,1681025790
436,san policarpo,12.1791,125.5072,300.95,71,43,5.46,PH,1681025790
437,ilulissat,69.2167,-51.1,267.16,86,40,4.12,GL,1681025791
438,port hedland,-20.3167,118.5667,308.18,38,75,6.17,AU,1681025791
439,maumere,-8.6199,122.2111,299.5,84,100,3.83,ID,1681025791
440,belyy yar,53.6039,91.3903,274.09,44,0,13.0,RU,1681025791
441,port macquarie,-31.4333,152.9167,294.76,47,0,4.8,AU,1681025792
442,punta alta,-38.8759,-62.0736,296.52,60,7,9.07,AR,1681025792
443,waingapu,-9.6567,120.2641,298.8,82,100,2.64,ID,1681025792
444,vila franca do campo,37.7167,-25.4333,288.38,89,100,2.93,PT,1681025793
445,voyvozh,62.892,54.9635,273.53,100,100,3.66,RU,1681025793
446,hualmay,-11.0964,-77.6139,297.23,83,99,5.02,PE,1681025793
447,mahibadhoo,3.7833,72.9667,301.46,71,5,2.82,MV,1681025794
448,fortuna,40.5982,-124.1573,281.44,81,28,2.24,US,1681025794
449,chumikan,54.7183,135.315,272.51,88,98,0.78,RU,1681025794
450,alghero,40.5589,8.3181,284.2,87,0,0.51,IT,1681025558
451,shakawe,-18.3667,21.85,300.96,31,98,2.51,BW,1681025795
452,vaitape,-16.5167,-151.75,301.58,75,100,8.69,PF,1681025795
453,samokov,42.3333,23.55,278.43,97,100,1.35,BG,1681025795
454,bocas del toro,9.3333,-82.25,297.79,80,40,2.63,PA,1681025795
455,ugoofaaru,5.6667,73.0,301.53,72,13,3.15,MV,1681025796
456,da nang,16.0678,108.2208,301.14,65,40,6.17,VN,1681025796
457,killybegs,54.6333,-8.45,281.99,74,100,11.1,IE,1681025576
458,hami,42.8,93.45,292.56,13,100,4.67,CN,1681025797
459,tavda,58.0425,65.2726,282.16,54,37,4.55,RU,1681025797
460,danilovka,50.3557,44.1168,283.85,46,8,3.7,RU,1681025797
461,malatya,38.5,38.0,282.18,66,75,2.57,TR,1681025798
462,kuopio,62.8924,27.677,276.12,65,0,1.79,FI,1681025798
463,san patricio,28.017,-97.5169,292.07,96,22,2.38,US,1681025798
464,olafsvik,64.8945,-23.7142,279.48,75,100,9.98,IS,1681025799
465,tanout,14.9709,8.8879,305.28,9,98,3.78,NE,1681025799
466,bure,10.7,37.0667,298.83,33,91,3.02,ET,1681025800
467,bemidji,47.4736,-94.8803,278.02,78,0,5.66,US,1681025585
468,dolores,-36.3132,-57.6792,286.39,93,5,3.05,AR,1681025800
469,hokitika,-42.7167,170.9667,287.01,90,100,3.82,NZ,1681025800
470,porbandar,21.6422,69.6093,303.56,46,30,6.16,IN,1681025800
471,tungor,53.3808,142.9564,271.13,71,26,4.68,RU,1681025801
472,hay river,60.8156,-115.7999,272.14,93,75,1.03,CA,1681025801
473,shache,38.4167,77.2406,298.28,11,0,2.13,CN,1681025801
474,yagodnoye,62.55,149.6667,259.12,90,6,0.62,RU,1681025801
475,chake chake,-5.2459,39.7666,303.08,67,73,2.11,TZ,1681025801
476,palmer,42.1584,-72.3287,275.32,74,75,2.57,US,1681025802
477,igarapava,-20.0383,-47.7469,294.66,96,100,0.86,BR,1681025802
478,sakaiminato,35.55,133.2333,290.14,45,20,3.6,JP,1681025802
479,mwinilunga,-11.7358,24.4293,294.09,81,100,2.36,ZM,1681025802
480,lahuachaca,-17.3667,-67.6667,278.73,78,97,2.34,BO,1681025802
481,aljezur,37.3191,-8.8033,291.03,51,1,1.61,PT,1681025803
482,gombong,-7.6072,109.5142,302.92,65,88,3.83,ID,1681025803
483,te anau,-45.4167,167.7167,284.39,77,100,1.22,NZ,1681025803
484,durango,24.8333,-104.8333,285.05,30,5,2.62,MX,1681025804
485,imeni poliny osipenko,52.4201,136.4853,275.68,84,56,1.59,RU,1681025804
486,port moresby,-9.4431,147.1797,301.83,74,75,5.14,PG,1681025804
487,casimiro de abreu,-22.4806,-42.2042,296.03,98,100,1.2,BR,1681025804
488,asbe teferi,9.0833,40.8667,296.25,50,16,3.68,ET,1681025805
489,abha,18.2164,42.5053,292.29,30,0,2.06,SA,1681025805
490,marienburg,54.0359,19.0266,282.52,85,100,3.15,PL,1681025805
491,chongwe,-15.3292,28.682,298.82,56,47,3.21,ZM,1681025805
492,lokachi,50.737,24.6494,281.34,69,84,1.75,UA,1681025806
493,point fortin,10.1833,-61.6833,297.53,85,98,5.16,TT,1681025806
494,gashua,12.871,11.0482,307.13,12,39,5.71,NG,1681025806
495,nome,64.5011,-165.4064,251.19,84,100,4.63,US,1681025639
496,luanda,-8.8368,13.2343,300.15,78,75,1.54,AO,1681025806
497,vao,-22.6667,167.4833,298.55,75,0,5.92,NC,1681025807
498,aras,42.5617,-2.356,277.38,70,0,2.06,ES,1681025807
499,qui nhon,13.7667,109.2333,299.86,81,32,5.93,VN,1681025807
500,micheweni,-4.9667,39.8333,302.66,69,47,0.71,TZ,1681025807
501,uong bi,21.0333,106.7833,293.14,76,100,1.04,VN,1681025808
502,maceio,-9.6658,-35.7353,297.84,94,75,1.54,BR,1681025808
